"","FID","network_name","native_id","station_name","elev","min_obs_time","max_obs_time","freq","province","station_id","history_id","country","comments","the_geom","sensor_id","description","network_id","col_hex","vars","display_names","geometry","MAP_LABEL"
"34","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4f28","EC","1183651","INGENIKA POINT",680,1972-10-01 00:00:00,2000-12-31 23:59:59,"daily","BC",1410,1813,NA,NA,"POINT (-124.9 56.8)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","air_temperature_maximum, air_temperaturet: maximum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, thickness_of_rainfall_amount_sum, thickness_of_snowfall_amount_sum, surface_snow_thickness_point, air_temperaturet: mean within days t: mean within months t: mean over years, air_temperature_minimum, air_temperaturet: minimum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amount_sum","Temperature (Max.)|Temperature Climatology (Max.)|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature Climatology (Mean)|Temperature (Min.)|Temperature Climatology (Min.)|Precipitation Amount",c(1067079.22582075, 1312640.26835417),"BWBSdk"
"35","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4f2f","EC","1181120","BULLMOOSE",1102,1982-11-01 00:00:00,2003-03-31 00:00:00,"daily","BC",1391,1794,NA,NA,"POINT (-121.483333 55.133333)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","air_temperature_maximum, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, thickness_of_rainfall_amount_sum, thickness_of_snowfall_amount_sum, air_temperature_minimum, lwe_thickness_of_precipitation_amount_sum, air_temperaturet: maximum within days t: mean within months t: mean over years, air_temperaturet: minimum within days t: mean within months t: mean over years, air_temperaturet: mean within days t: mean within months t: mean over years, surface_snow_thickness_point","Temperature (Max.)|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Temperature (Min.)|Precipitation Amount|Temperature Climatology (Max.)|Temperature Climatology (Min.)|Temperature Climatology (Mean)|Surface Snow Depth (Point)",c(1287115.16649259, 1135275.35681347),"ESSFmv2"
"36","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4f8b","EC","1182881","FINLAY FORKS",762,1981-07-01 00:00:00,2000-12-31 23:59:59,"daily","BC",1404,1807,NA,NA,"POINT (-123.733333 55.9)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","air_temperaturet: minimum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, air_temperaturet: mean within days t: mean within months t: mean over years, air_temperature_minimum, lwe_thickness_of_precipitation_amount_sum, thickness_of_rainfall_amount_sum, air_temperature_maximum, air_temperaturet: maximum within days t: mean within months t: mean over years, surface_snow_thickness_point, thickness_of_snowfall_amount_sum","Temperature Climatology (Min.)|Precipitation Climatology|Temperature Climatology (Mean)|Temperature (Min.)|Precipitation Amount|Rainfall Amount|Temperature (Max.)|Temperature Climatology (Max.)|Surface Snow Depth (Point)|Snowfall Amount",c(1141420.96065499, 1213952.08558881),"SBSmk2"
"37","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4fd2","EC","1185103","MESILINKA CAMP",803,1995-06-16 00:00:00,1996-03-31 00:00:00,"daily","BC",1419,1822,NA,NA,"POINT (-124.5 56.116667)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","air_temperature_maximum, thickness_of_snowfall_amount_sum, lwe_thickness_of_precipitation_amount_sum, surface_snow_thickness_point, air_temperature_minimum, thickness_of_rainfall_amount_sum","Temperature (Max.)|Snowfall Amount|Precipitation Amount|Surface Snow Depth (Point)|Temperature (Min.)|Rainfall Amount",c(1093084.0359591, 1236855.48556479),"SBSmk2"
"38","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4fee","EC","1184792","MACKENZIE BCFS",721,1969-07-01 00:00:00,1971-01-31 00:00:00,"daily","BC",1415,1818,NA,NA,"POINT (-123.083333 55.316667)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","lwe_thickness_of_precipitation_amount_sum, air_temperature_minimum, thickness_of_rainfall_amount_sum, air_temperature_maximum, thickness_of_snowfall_amount_sum","Precipitation Amount|Temperature (Min.)|Rainfall Amount|Temperature (Max.)|Snowfall Amount",c(1184636.93306752, 1150381.5716114),"SBSwk2"
"39","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4ff5","EC","1208041","TELEGRAPH CREEK",250,1979-05-01 00:00:00,2000-12-31 23:59:59,"daily","BC",1495,1898,NA,NA,"POINT (-131.333333 57.9)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","air_temperaturet: mean within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amount_sum, air_temperaturet: minimum within days t: mean within months t: mean over years, surface_snow_thickness_point, air_temperature_minimum, air_temperature_maximum, thickness_of_rainfall_amount_sum, thickness_of_snowfall_amount_sum, air_temperaturet: maximum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years","Temperature Climatology (Mean)|Precipitation Amount|Temperature Climatology (Min.)|Surface Snow Depth (Point)|Temperature (Min.)|Temperature (Max.)|Rainfall Amount|Snowfall Amount|Temperature Climatology (Max.)|Precipitation Climatology",c(684294.964508758, 1446687.73161957),"BWBSdk"
"40","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_4fff","EC","1183090","GERMANSEN LANDING",766,1951-08-06 00:00:00,2013-11-01 00:00:00,"daily","BC",1407,1810,NA,NA,"POINT (-124.7014 55.78553)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","lwe_thickness_of_precipitation_amount_sum, air_temperaturet: maximum within days t: mean within months t: mean over years, air_temperature_minimum, air_temperaturet: minimum within days t: mean within months t: mean over years, thickness_of_snowfall_amount_sum, air_temperature_maximum, thickness_of_rainfall_amount_sum, surface_snow_thickness_point, air_temperaturet: mean within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years","Precipitation Amount|Temperature Climatology (Max.)|Temperature (Min.)|Temperature Climatology (Min.)|Snowfall Amount|Temperature (Max.)|Rainfall Amount|Surface Snow Depth (Point)|Temperature Climatology (Mean)|Precipitation Climatology",c(1081265.37451204, 1199656.96807764),"BWBSdk"
"41","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_517a","EC","1098955","WILLOW RIVER",801,1955-12-01 00:00:00,1956-03-31 00:00:00,"daily","BC",825,1228,NA,NA,"POINT (-122.316667 53.733333)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","thickness_of_snowfall_amount_sum, air_temperature_maximum, thickness_of_rainfall_amount_sum, air_temperature_minimum, lwe_thickness_of_precipitation_amount_sum","Snowfall Amount|Temperature (Max.)|Rainfall Amount|Temperature (Min.)|Precipitation Amount",c(1242321.85428894, 976155.38292317),"SBSmk1"
"42","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_519b","EC","1203255","GRAHAM INLET",659.9,1973-07-01 00:00:00,2011-09-30 00:00:00,"daily","BC",1479,1882,NA,NA,"POINT (-134.1833 59.6)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","air_temperaturet: maximum within days t: mean within months t: mean over years, surface_snow_thickness_point, air_temperature_minimum, air_temperaturet: mean within days t: mean within months t: mean over years, air_temperaturet: minimum within days t: mean within months t: mean over years, thickness_of_snowfall_amount_sum, lwe_thickness_of_precipitation_amount_sum, thickness_of_rainfall_amount_sum, air_temperature_maximum, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years","Temperature Climatology (Max.)|Surface Snow Depth (Point)|Temperature (Min.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)|Snowfall Amount|Precipitation Amount|Rainfall Amount|Temperature (Max.)|Precipitation Climatology",c(538044.471900512, 1650803.41378992),"BWBSdk"
"43","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_51ab","EC","1200847","BENNETT",662,1972-09-20 00:00:00,1974-07-31 00:00:00,"daily","BC",1471,1874,NA,NA,"POINT (-134.983333 59.85)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","air_temperature_maximum, lwe_thickness_of_precipitation_amount_sum, thickness_of_snowfall_amount_sum, air_temperature_minimum, thickness_of_rainfall_amount_sum","Temperature (Max.)|Precipitation Amount|Snowfall Amount|Temperature (Min.)|Rainfall Amount",c(496631.081004531, 1683848.03258738),"BWBSdk"
"44","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_524e","EC","1203670","ISKUT",884,1973-08-01 00:00:00,1973-12-31 00:00:00,"daily","BC",1483,1886,NA,NA,"POINT (-129.966667 57.816667)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","air_temperature_maximum, lwe_thickness_of_precipitation_amount_sum, air_temperature_minimum, thickness_of_rainfall_amount_sum, thickness_of_snowfall_amount_sum","Temperature (Max.)|Precipitation Amount|Temperature (Min.)|Rainfall Amount|Snowfall Amount",c(764574.82553895, 1432098.2368194),"BWBSdk"
"45","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_52b6","EC","1186A71","PINE PASS MT LEMORAY",680,1974-11-01 00:00:00,2004-12-31 00:00:00,"daily","BC",1428,1831,NA,NA,"POINT (-122.483333 55.533333)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","lwe_thickness_of_precipitation_amount_sum, air_temperaturet: maximum within days t: mean within months t: mean over years, air_temperature_minimum, air_temperaturet: minimum within days t: mean within months t: mean over years, thickness_of_snowfall_amount_sum, air_temperature_maximum, thickness_of_rainfall_amount_sum, surface_snow_thickness_point, air_temperaturet: mean within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years","Precipitation Amount|Temperature Climatology (Max.)|Temperature (Min.)|Temperature Climatology (Min.)|Snowfall Amount|Temperature (Max.)|Rainfall Amount|Surface Snow Depth (Point)|Temperature Climatology (Mean)|Precipitation Climatology",c(1221389.8974714, 1176262.1178907),"SBSwk2"
"46","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_52e6","EC","1202638","EDDONTENAJON",884,1972-09-01 00:00:00,1972-10-31 00:00:00,"daily","BC",1477,1880,NA,NA,"POINT (-129.983333 57.833333)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","air_temperature_maximum, air_temperature_minimum, thickness_of_rainfall_amount_sum, thickness_of_snowfall_amount_sum, lwe_thickness_of_precipitation_amount_sum","Temperature (Max.)|Temperature (Min.)|Rainfall Amount|Snowfall Amount|Precipitation Amount",c(763691.205868033, 1434008.63925526),"BWBSdk"
"47","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_5345","EC","1204215","KINASKAN LAKE",815,1966-10-05 00:00:00,2000-12-31 23:59:59,"daily","BC",1485,1888,NA,NA,"POINT (-130.2 57.533333)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","lwe_thickness_of_precipitation_amount_sum, thickness_of_rainfall_amount_sum, air_temperaturet: maximum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, air_temperature_minimum, air_temperature_maximum, air_temperaturet: mean within days t: mean within months t: mean over years, thickness_of_snowfall_amount_sum, air_temperaturet: minimum within days t: mean within months t: mean over years","Precipitation Amount|Rainfall Amount|Temperature Climatology (Max.)|Precipitation Climatology|Temperature (Min.)|Temperature (Max.)|Temperature Climatology (Mean)|Snowfall Amount|Temperature Climatology (Min.)",c(748869.092203394, 1401364.02464878),"BWBSdk"
"48","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_5415","EC","1180881","BLACKWATER CREEK",732,1989-10-01 00:00:00,2000-12-31 23:59:59,"daily","BC",1389,1792,NA,NA,"POINT (-123.65 55.533333)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","thickness_of_snowfall_amount_sum, thickness_of_rainfall_amount_sum, air_temperaturet: maximum within days t: mean within months t: mean over years, air_temperaturet: mean within days t: mean within months t: mean over years, air_temperature_maximum, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, surface_snow_thickness_point, air_temperature_minimum, lwe_thickness_of_precipitation_amount_sum, air_temperaturet: minimum within days t: mean within months t: mean over years","Snowfall Amount|Rainfall Amount|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature (Max.)|Precipitation Climatology|Surface Snow Depth (Point)|Temperature (Min.)|Precipitation Amount|Temperature Climatology (Min.)",c(1147976.68147224, 1173218.42203631),"SBSmk2"
"49","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_5490","EC","1208040","TELEGRAPH CREEK",183,1942-07-01 00:00:00,2000-12-31 23:59:59,"daily","BC",1494,1897,NA,NA,"POINT (-131.166667 57.9)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","air_temperature_maximum, lwe_thickness_of_precipitation_amount_sum, thickness_of_snowfall_amount_sum, surface_snow_thickness_point, air_temperaturet: minimum within days t: mean within months t: mean over years, air_temperaturet: maximum within days t: mean within months t: mean over years, thickness_of_rainfall_amount_sum, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, air_temperature_minimum, air_temperaturet: mean within days t: mean within months t: mean over years","Temperature (Max.)|Precipitation Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature Climatology (Min.)|Temperature Climatology (Max.)|Rainfall Amount|Precipitation Climatology|Temperature (Min.)|Temperature Climatology (Mean)",c(694142.901293073, 1445956.05584725),"BWBSdk"
"50","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_54af","EC","1203640","HYLAND POST",1067,1964-01-01 00:00:00,2000-02-29 23:59:59,"daily","BC",1482,1885,NA,NA,"POINT (-128.166667 57.65)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","air_temperature_maximum, lwe_thickness_of_precipitation_amount_sum, air_temperaturet: maximum within days t: mean within months t: mean over years, thickness_of_rainfall_amount_sum, thickness_of_snowfall_amount_sum, air_temperature_minimum, air_temperaturet: minimum within days t: mean within months t: mean over years, air_temperaturet: mean within days t: mean within months t: mean over years","Temperature (Max.)|Precipitation Amount|Temperature Climatology (Max.)|Rainfall Amount|Snowfall Amount|Temperature (Min.)|Temperature Climatology (Min.)|Temperature Climatology (Mean)",c(870790.59068985, 1408897.72155067),"BWBSdk"
"51","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_54d3","EC","1185020","MCLEOD LAKE",704,1963-08-01 00:00:00,2000-03-31 23:59:59,"daily","BC",1418,1821,NA,NA,"POINT (-123.033333 55.033333)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","air_temperaturet: mean within days t: mean within months t: mean over years, air_temperaturet: minimum within days t: mean within months t: mean over years, air_temperature_maximum, air_temperature_minimum, thickness_of_snowfall_amount_sum, thickness_of_rainfall_amount_sum, air_temperaturet: maximum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amount_sum","Temperature Climatology (Mean)|Temperature Climatology (Min.)|Temperature (Max.)|Temperature (Min.)|Snowfall Amount|Rainfall Amount|Temperature Climatology (Max.)|Precipitation Amount",c(1189125.30052145, 1118913.89825661),"SBSmk1"
"52","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_54f0","EC","1184790","MACKENZIE A",690.1,1971-02-08 00:00:00,2013-01-14 00:00:00,"daily","BC",1414,1817,NA,NA,"POINT (-123.1381 55.30528)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","lwe_thickness_of_precipitation_amount_sum, air_temperaturet: maximum within days t: mean within months t: mean over years, air_temperature_minimum, air_temperaturet: minimum within days t: mean within months t: mean over years, thickness_of_snowfall_amount_sum, air_temperature_maximum, thickness_of_rainfall_amount_sum, surface_snow_thickness_point, air_temperaturet: mean within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years","Precipitation Amount|Temperature Climatology (Max.)|Temperature (Min.)|Temperature Climatology (Min.)|Snowfall Amount|Temperature (Max.)|Rainfall Amount|Surface Snow Depth (Point)|Temperature Climatology (Mean)|Precipitation Climatology",c(1181223.23622483, 1148970.05469274),"SBSmk1"
"53","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_551e","EC","1184795","MACKENZIE TOWNSITE",762,1966-12-01 00:00:00,2004-04-30 00:00:00,"daily","BC",1416,1819,NA,NA,"POINT (-123.083333 55.333333)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, air_temperaturet: mean within days t: mean within months t: mean over years, air_temperature_minimum, air_temperature_maximum, thickness_of_snowfall_amount_sum, air_temperaturet: maximum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amount_sum, surface_snow_thickness_point, air_temperaturet: minimum within days t: mean within months t: mean over years, thickness_of_rainfall_amount_sum","Precipitation Climatology|Temperature Climatology (Mean)|Temperature (Min.)|Temperature (Max.)|Snowfall Amount|Temperature Climatology (Max.)|Precipitation Amount|Surface Snow Depth (Point)|Temperature Climatology (Min.)|Rainfall Amount",c(1184560.30878592, 1152240.30382339),"SBSwk2"
"54","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_555c","EC","1095412","NAVER CREEK AHBAU",896,1959-11-10 00:00:00,1961-04-30 00:00:00,"daily","BC",784,1187,NA,NA,"POINT (-122.333333 53.25)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","lwe_thickness_of_precipitation_amount_sum, air_temperature_maximum, thickness_of_snowfall_amount_sum, thickness_of_rainfall_amount_sum, air_temperature_minimum","Precipitation Amount|Temperature (Max.)|Snowfall Amount|Rainfall Amount|Temperature (Min.)",c(1244018.6141708, 922237.832877929),"SBSmk1"
"55","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_55c7","EC","1186171","PINE PASS",945,1962-10-01 00:00:00,2000-12-31 23:59:59,"daily","BC",1421,1824,NA,NA,"POINT (-122.6 55.35)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","air_temperaturet: minimum within days t: mean within months t: mean over years, air_temperature_maximum, air_temperaturet: mean within days t: mean within months t: mean over years, air_temperature_minimum, air_temperaturet: maximum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amount_sum, thickness_of_snowfall_amount_sum, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, thickness_of_rainfall_amount_sum, surface_snow_thickness_point","Temperature Climatology (Min.)|Temperature (Max.)|Temperature Climatology (Mean)|Temperature (Min.)|Temperature Climatology (Max.)|Precipitation Amount|Snowfall Amount|Precipitation Climatology|Rainfall Amount|Surface Snow Depth (Point)",c(1215033.39922751, 1155463.0061747),"SBSwk2"
"56","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_562a","BCH","MES","Mesilinka R. ab Gopherhole Ck",728,1983-09-22 00:00:00,2002-12-31 00:00:00,"daily","BC",2511,2914,NA,NA,"POINT (-124.6441667 56.245)",NA,"BC Hydro",5,"#0010A5","air_temperaturet: maximum within days t: mean within months t: mean over years, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, air_temperature_minimum, lwe_thickness_of_precipitation_amount_sum, air_temperaturet: minimum within days t: mean within months t: mean over years, air_temperature_maximum, air_temperaturet: mean within days t: mean within months t: mean over years","Temperature Climatology (Max.)|Precipitation Climatology|Temperature (Min.)|Precipitation Amount|Temperature Climatology (Min.)|Temperature (Max.)|Temperature Climatology (Mean)",c(1083864.49371227, 1250994.31081159),"SBSmk2"
"57","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_5645","EC","1188696","WARE",777,1966-10-01 00:00:00,2000-12-31 23:59:59,"daily","BC",1434,1837,NA,NA,"POINT (-125.633333 57.433333)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","lwe_thickness_of_precipitation_amount_sum, surface_snow_thickness_point, air_temperaturet: maximum within days t: mean within months t: mean over years, air_temperaturet: mean within days t: mean within months t: mean over years, air_temperature_minimum, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, thickness_of_snowfall_amount_sum, air_temperature_maximum, air_temperaturet: minimum within days t: mean within months t: mean over years, thickness_of_rainfall_amount_sum","Precipitation Amount|Surface Snow Depth (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature (Min.)|Precipitation Climatology|Snowfall Amount|Temperature (Max.)|Temperature Climatology (Min.)|Rainfall Amount",c(1021994.67147072, 1382818.30663218),"BWBSdk"
"58","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_5667","EC","1191440","CASSIAR",1078,1954-03-01 00:00:00,2000-12-31 23:59:59,"daily","BC",1440,1843,NA,NA,"POINT (-129.833333 59.283333)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000","thickness_of_rainfall_amount_sum, lwe_thickness_of_precipitation_amountt: sum within months t: mean over years, lwe_thickness_of_precipitation_amount_sum, air_temperaturet: mean within days t: mean within months t: mean over years, air_temperaturet: maximum within days t: mean within months t: mean over years, surface_snow_thickness_point, air_temperaturet: minimum within days t: mean within months t: mean over years, thickness_of_snowfall_amount_sum, air_temperature_maximum, air_temperature_minimum","Rainfall Amount|Precipitation Climatology|Precipitation Amount|Temperature Climatology (Mean)|Temperature Climatology (Max.)|Surface Snow Depth (Point)|Temperature Climatology (Min.)|Snowfall Amount|Temperature (Max.)|Temperature (Min.)",c(781321.415250942, 1594772.68931447),"BWBSdk"
"59","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_56b3","EC","1096439","PRINCE GEORGE",691,NA,NA,"daily","BC",11838,13893,NA,NA,"POINT (-122.677 53.8842)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000",NA,NA,c(1217844.32069028, 991800.494278266),"SBSmk1"
"60","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_5739","EC","1184791","MACKENZIE",690.1,NA,NA,"daily","BC",11891,13946,NA,NA,"POINT (-123.133 55.2994)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000",NA,NA,c(1181572.57965888, 1148327.31479726),"SBSmk1"
"61","crmp_network_geoserver.fid--6faa4d7d_16d03b913b0_5740","EC","1096453","PRINCE GEORGE AIRPORT AUTO",680,NA,NA,"daily","BC",11839,13894,NA,NA,"POINT (-122.672 53.8889)",NA,"Environment Canada (Canadian Daily Climate Data 2007)",1,"#FF0000",NA,NA,c(1218147.21205412, 992339.848516199),"SBSmk1"
